carrington_rotation,rotation_start_utc,analysis_decimal_year,FD,NH,SH,N_0_15,N_15_30,N_30_45,S_0_15,S_15_30,S_30_45
1642,1976-05-27T16:00:54.720000+00:00,1976.4059139784947,32.479936000856497,12.068697991081487,16.153990600049791,1.6287944488482886,0.48027733097850894,0.31532471569637699,1.2136632316465978,0.57733627871271909,0.23679850068757252
1643,1976-06-23T22:37:20.640000+00:00,1976.4784946236559,31.026555273101941,13.092725709546896,14.39287096174373,0.94564616668546253,0.44003949151797878,0.31974615575568904,0.54992620371489642,0.4541677870897346,0.24536781377046077
1644,1976-07-21T05:13:46.560000+00:00,1976.5564516129032,28.656507083183484,15.712539573525396,10.219485108575064,1.7400403458832772,2.4960808317976131,0.425382825636689,0.56024430455826635,0.30196686263447842,0.1950364473608151
1645,1976-08-17T11:50:12.480000+00:00,1976.6290322580646,26.342767260787294,13.498700378701288,10.457878103474826,0.82273604727352034,1.5928427311968043,0.46011490841716829,1.9064608229399336,1.15324768503301,0.2322915669619392
1646,1976-09-13T18:26:38.400000+00:00,1976.7016129032259,23.636465362905835,11.707820712320084,9.8179570740030702,0.65431378785578742,1.1259193537283261,0.39556807863182958,2.1936798397811827,1.3517940786546538,0.1966232273544333
1647,1976-10-11T01:03:04.320000+00:00,1976.7795698924731,29.276050555448482,13.362554114658989,13.240166292515609,0.70605803794769006,2.1898213993229461,0.60203809977580947,1.1270499674115053,1.686499579697347,0.4198340899377434
1648,1976-11-07T07:39:30.240000+00:00,1976.8521505376343,24.125284602913442,11.600694477354535,10.179682075768987,1.1495591528100897,2.1628644066299478,1.2344544475491497,0.46208134661255473,0.66940168333885719,0.3165058739559527
1649,1976-12-04T14:15:56.160000+00:00,1976.9274193548388,34.048857057975297,12.425683153646073,18.310617830584221,0.74284947378811106,2.009943956875329,1.427291213355927,0.94178607629109479,3.412986776745194,0.35786996570697382
1650,1976-12-31T20:52:22.080000+00:00,1977,17.482697398766128,5.8124289092175481,9.9071069448556344,0.28473652510561431,0.9515035985781698,0.5453172768976301,0.24704341415166403,0.95252737734361015,0.23250412755372413
1651,1977-01-28T03:28:48+00:00,1977.0752688172042,26.924177057855516,6.1456691203252136,19.063611266114087,0.38921971289109297,1.317464744015979,0.58634649805390304,0.41040782720710117,2.1722163439351343,5.15889434404904
1652,1977-02-24T10:05:13.920000+00:00,1977.1478494623657,31.939842951906776,9.4469883132904702,20.455707406191145,0.98908946914305507,3.0799330969658953,0.98178980692660411,0.26562442384802198,1.3511265314576677,2.8204146423713587
1653,1977-03-23T16:41:39.840000+00:00,1977.2284946236559,41.501011685614891,13.937673216768419,25.391708832890778,0.4960915053365556,6.644247834962993,1.6446032959162955,2.2359461409333683,6.8832807579753599,1.4899731182722178
1654,1977-04-19T23:18:05.760000+00:00,1977.3010752688172,37.103078386835364,14.881852885843548,20.18639072286987,0.34832281350646682,4.9684645137948982,3.5126426319920476,0.75286103640191215,8.4674641196615337,0.80000491815598929
1655,1977-05-17T05:54:31.680000+00:00,1977.3790322580646,39.767868552937315,18.356923646325214,18.962007967973701,0.38012943223462359,2.6265415927143221,5.2507874120002,0.55122906532765381,6.3202988687407338,0.80620244675509289
1656,1977-06-13T12:30:57.600000+00:00,1977.4516129032259,47.60282440189966,23.09521780686649,21.711767891157194,3.8357008923933416,5.7546276386739041,2.6073678138792369,1.0270763128659399,6.4674792876757401,1.6929173674580467
1657,1977-07-10T19:07:23.520000+00:00,1977.5268817204301,47.835328234790303,17.504996427573005,27.842936705991686,1.5931084276992415,4.0345581320051966,1.7116080552784649,1.7179737425645769,9.8547747853147456,3.4162197957731526
1658,1977-08-07T01:43:49.440000+00:00,1977.6021505376343,45.348444701121082,23.542442724913432,18.896452758114968,1.3454469394484647,9.1160778739629471,2.218320698067076,0.44295213114643528,5.2746388150132715,2.0779455873461914
1659,1977-09-03T08:20:15.360000+00:00,1977.6747311827958,53.179274613919155,28.234208257516894,22.137174471618273,3.7764940568289522,9.7886725929972247,3.0124131126776645,0.57763591014355431,7.8791117231201113,2.2477071886103417
1660,1977-09-30T14:56:41.280000+00:00,1977.747311827957,62.216316530424422,33.967057386693583,25.069989771741412,10.418713977005961,8.3662289050483984,2.1287361378452867,1.420297162510938,6.3504542013164702,2.9350257780056377
1661,1977-10-27T21:33:07.200000+00:00,1977.8225806451612,55.085218546500613,31.934540708177405,20.189677329586257,5.4897424517342017,11.541186926465755,3.3410914677366566,1.1456377698314351,2.3600233772866557,1.7717256169823583
1662,1977-11-24T04:09:33.120000+00:00,1977.8978494623657,71.620841341661333,29.775074785702067,39.391188164692387,4.4620051331993595,12.308079302983707,2.0858449203584959,1.3326361875058645,15.419250769161646,3.7976413682488506
1663,1977-12-21T10:45:59.040000+00:00,1977.9731182795699,58.705058055436844,27.074488065483262,29.325291429412147,3.5530154330500427,13.705352237376696,2.3234338884514103,1.3546936933766034,9.1438844341212988,2.1609179353420807
1664,1978-01-17T17:22:24.960000+00:00,1978.0456989247311,127.53702342804286,82.740915046298113,43.290179296931782,21.300104367052693,42.457539695365888,5.80708859985356,1.9052431890584836,12.296917334258378,11.262131131463619
1665,1978-02-13T23:58:50.880000+00:00,1978.1182795698924,130.87713955731138,99.357685215298787,30.77181226693618,18.764073590579038,56.32925750839113,8.7877728578111274,1.7355523284382453,6.5767626437142335,6.2039578141436271
1666,1978-03-13T06:35:16.800000+00:00,1978.2016129032259,150.62393606159353,95.842340328664207,52.342770641330084,29.038883609130629,45.301129295292867,6.3475252266097044,1.7937319283735478,17.128007272460529,14.613471563616068
