carrington_rotation,longitude_index,carrington_longitude_degree,latitude_index,sine_latitude,latitude_degree,field_microtesla
2149,0,5,0,-0.96666666666666667,-75.164888418024262,-1.29
2149,0,5,1,-0.90000000000000002,-64.158067236832878,-7.9329999999999998
2149,0,5,2,-0.83333333333333337,-56.442690238079287,-14.814
2149,0,5,3,-0.76666666666666672,-50.055494810185124,-18.329000000000001
2149,0,5,4,-0.69999999999999996,-44.427004000805702,-17.748999999999999
2149,0,5,5,-0.6333333333333333,-39.296480239187503,-15.44
2149,0,5,6,-0.56666666666666665,-34.518107841061259,-5.5110000000000001
2149,0,5,7,-0.5,-29.999999999999996,23.382000000000001
2149,0,5,8,-0.43333333333333335,-25.679288619456855,35.256999999999998
2149,0,5,9,-0.36666666666666664,-21.510188266887482,36.670000000000002
2149,0,5,10,-0.29999999999999999,-17.457603123722091,56.234000000000002
2149,0,5,11,-0.23333333333333334,-13.49339882155169,1.0620000000000001
2149,0,5,12,-0.16666666666666666,-9.5940682268604611,-199.364
2149,0,5,13,-0.10000000000000001,-5.7391704772667866,-351.93400000000003
2149,0,5,14,-0.033333333333333333,-1.9102131717099304,-353.56700000000001
2149,0,5,15,0.033333333333333333,1.9102131717099304,-216.84899999999999
2149,0,5,16,0.10000000000000001,5.7391704772667866,8.4770000000000003
2149,0,5,17,0.16666666666666666,9.5940682268604611,56.743000000000002
2149,0,5,18,0.23333333333333334,13.49339882155169,-33.561999999999998
2149,0,5,19,0.29999999999999999,17.457603123722091,-90.278999999999996
2149,0,5,20,0.36666666666666664,21.510188266887482,-88.799999999999997
2149,0,5,21,0.43333333333333335,25.679288619456855,-50.993000000000002
2149,0,5,22,0.5,29.999999999999996,-19.73
2149,0,5,23,0.56666666666666665,34.518107841061259,-12.702999999999999
2149,0,5,24,0.6333333333333333,39.296480239187503,-23.827000000000002
2149,0,5,25,0.69999999999999996,44.427004000805702,-25.030999999999999
2149,0,5,26,0.76666666666666672,50.055494810185124,-15.641999999999999
2149,0,5,27,0.83333333333333337,56.442690238079287,-0.42299999999999999
2149,0,5,28,0.90000000000000002,64.158067236832878,13.243
2149,0,5,29,0.96666666666666667,75.164888418024262,25.786000000000001
2149,1,10,0,-0.96666666666666667,-75.164888418024262,4.5449999999999999
2149,1,10,1,-0.90000000000000002,-64.158067236832878,0.67100000000000004
2149,1,10,2,-0.83333333333333337,-56.442690238079287,-7.6609999999999996
2149,1,10,3,-0.76666666666666672,-50.055494810185124,-9.3819999999999997
2149,1,10,4,-0.69999999999999996,-44.427004000805702,-4.6950000000000003
2149,1,10,5,-0.6333333333333333,-39.296480239187503,1.006
2149,1,10,6,-0.56666666666666665,-34.518107841061259,29.518000000000001
2149,1,10,7,-0.5,-29.999999999999996,100.93600000000001
